start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
50.230.17.64,50.230.17.87,50.230.0.0,Denver,Colorado,US,39.73915,-104.9847,80203,America/Denver
2409:4081:8081:700::,2409:4081:8081:7ff:ffff:ffff:ffff:ffff,2409:4081:8000::,Kirandul,Chhattisgarh,IN,18.63649,81.25827,494556,Asia/Kolkata
2401:3d1f::,2401:3d1f:3fff:ffff:ffff:ffff:ffff:ffff,2401:3d1f::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2603:10a0:115:f7::,2603:10a0:115:10e:ffff:ffff:ffff:ffff,2603:10a0::,Redmond,Washington,US,47.67399,-122.12151,98052,America/Los_Angeles
240e:377a:8000::,240e:377a:bfff:ffff:ffff:ffff:ffff:ffff,240e:377a:8000::,Chaowai,Beijing,CN,39.91812,116.43242,100000,Asia/Shanghai
2c08:2221:8000::,2c08:2221:bfff:ffff:ffff:ffff:ffff:ffff,2c08:2221:8000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
280f:80b5::,280f:80b5:3fff:ffff:ffff:ffff:ffff:ffff,280f:80b5::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
176.254.1.200,176.254.1.200,176.254.0.0,Swanscombe,England,GB,51.44713,0.31028,DA11,Europe/London
2a10:2e91:8000::,2a10:2e91:bfff:ffff:ffff:ffff:ffff:ffff,2a10:2e91:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
24.191.117.122,24.191.117.130,24.191.0.0,Nutley,New Jersey,US,40.82232,-74.15987,07110,America/New_York
2a0c:5a80:190f:9100::,2a0c:5a80:190f:91ff:ffff:ffff:ffff:ffff,2a0c:5a80::,Girona,Catalonia,ES,41.98311,2.82493,17001,Europe/Madrid
2a05:d618:4000::,2a05:d618:7fff:ffff:ffff:ffff:ffff:ffff,2a05:d618:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2c01:4f81:4000::,2c01:4f81:7fff:ffff:ffff:ffff:ffff:ffff,2c01:4f81:4000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
187.173.58.225,187.173.58.225,187.173.0.0,Santiago de Querétaro,Querétaro,MX,20.58806,-100.38806,76120,America/Mexico_City
2400:f2c5:c000::,2400:f2c5:ffff:ffff:ffff:ffff:ffff:ffff,2400:f2c5:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
280b:e778:4000::,280b:e778:7fff:ffff:ffff:ffff:ffff:ffff,280b:e778:4000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2603:1090:60d:342::,2603:1090:60d:342:ffff:ffff:ffff:ffff,2603:1090::,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
86.146.86.80,86.146.86.81,86.146.0.0,Leigh-on-Sea,England,GB,51.54297,0.64905,SS9,Europe/London
